,name,gradyear
0,Ye QI,1994
1,Huamin QU,2004
2,Danyang XIE,1992
3,Ricky Shi-Wei LEE,1992
4,Alexis Kai-Hon LAU,1991
5,Fu-Gee TSUNG,1997
6,Pan HUI,2008
7,Minhua SHAO,2006
8,Charles Wang Wai NG,1993
9,Irene Man Chi Lo,1992
10,Tongyi ZHANG,1985
11,Liuqing YANG,2004
12,Qiang YANG,1989
13,Weijia WEN,1995
14,Lei CHEN,2005
15,Lionel Ming-Shuan NI,1980
16,Vincent Kin Nang LAU,1998
17,Qian ZHANG,1999
18,Jimmy Chi Hung FUNG,1990
19,Hui XIONG,2005
20,Ning CAI,2008
21,Xiaowen CHU,2003
22,Qiong LUO,2002
23,Yingying LI,2008
24,Danny Hin Kwok TSANG,1989
25,BIN JIANG,1996
26,Ge Lin KAN,1996
27,Gyu Boong JO,2010
28,Kaishun WU,2011
29,Huihe QIU,1994
30,YUE KUEN KWOK,1985
31,Jun XIA,2002
32,Wei WANG,2004
33,Robert Zhong QI,1996
34,Ping GAO,1990
35,Jingshen WU,1995
36,Kai TANG,1990
37,Xun WU,2001
38,Jiang XU,2007
39,Jinglei YANG,0
40,Yang YANG,2002
41,Kang ZHANG,1990
42,Junyu ZHENG,2002
43,Pengcheng HU,2013
44,Jinyu HE,2005
45,Nan TANG,2008
46,Felix Xin WANG,2018
47,Ming LIU,2013
48,Ying CUI,2012
49,Zhi NING,2009
50,Yunlong ZI,2014
51,Xinyi HUANG,2009
52,Jia LI,2011
53,Yunda WANG,2012
54,Sung Hun KIM,2006
55,Zhuoni ZHANG,2011
56,DIRK KUTSCHER,2003
57,Jun WU,2011
58,Yun BAI,2013
59,Guigang CAI,2022
60,Yi CAI,2017
61,Sean Sihong XIE,2016
62,Tengfei CHANG,2018
63,Luoye CHEN,2022
64,Huangxun CHEN,2020
65,Peng CHEN,2012
66,Bojun CHENG,2021
67,Mojun CHEN,2020
68,Lingluo CHU,2014
69,Yingcong CHEN,2020
70,Jinshu CHI,2016
71,Zijun GONG,2021
72,Xiakun CHU,2014
73,Zecheng GAN,2016
